"site_id","site_name","year","start_time","visit_number","scientific_name","common_name","abundance","detections","time_of_day"
"ACAD3002","Acadia National Park",2022,"05:32:00",2,"Certhia americana","Brown Creeper",1,0,"5AM to 6AM"
"ACAD3002","Acadia National Park",2022,"05:32:00",2,"Corvus brachyrhynchos","American Crow",1,0,"5AM to 6AM"
"ACAD3002","Acadia National Park",2022,"05:32:00",2,"Regulus satrapa","Golden-crowned Kinglet",1,0,"5AM to 6AM"
"ACAD3002","Acadia National Park",2022,"05:32:00",2,"Setophaga coronata","Yellow-rumped Warbler",2,8,"5AM to 6AM"
"ACAD3002","Acadia National Park",2022,"05:32:00",2,"Setophaga virens","Black-throated Green Warbler",2,7,"5AM to 6AM"
"ACAD3002","Acadia National Park",2022,"05:32:00",2,"Troglodytes hiemalis","Winter Wren",1,0,"5AM to 6AM"
"ACAD3002","Acadia National Park",2022,"06:09:00",1,"Catharus guttatus","Hermit Thrush",1,0,"6AM to 7AM"
"ACAD3002","Acadia National Park",2022,"06:09:00",1,"Certhia americana","Brown Creeper",2,0,"6AM to 7AM"
"ACAD3002","Acadia National Park",2022,"06:09:00",1,"Corvus brachyrhynchos","American Crow",1,0,"6AM to 7AM"
"ACAD3002","Acadia National Park",2022,"06:09:00",1,"Setophaga coronata","Yellow-rumped Warbler",1,0,"6AM to 7AM"
"ACAD3002","Acadia National Park",2022,"06:09:00",1,"Setophaga virens","Black-throated Green Warbler",3,7,"6AM to 7AM"
"ACAD3002","Acadia National Park",2022,"06:09:00",1,"Sitta canadensis","Red-breasted Nuthatch",1,0,"6AM to 7AM"
"ACAD3002","Acadia National Park",2022,"06:09:00",1,"Troglodytes hiemalis","Winter Wren",1,15,"6AM to 7AM"
"ACAD3002","Acadia National Park",2022,"06:09:00",1,"Vireo solitarius","Blue-headed Vireo",1,0,"6AM to 7AM"
"ACAD3002","Acadia National Park",2022,"08:32:00",3,"Certhia americana","Brown Creeper",2,3,"8AM to 9AM"
"ACAD3002","Acadia National Park",2022,"08:32:00",3,"Corvus brachyrhynchos","American Crow",1,0,"8AM to 9AM"
"ACAD3002","Acadia National Park",2022,"08:32:00",3,"Setophaga virens","Black-throated Green Warbler",1,0,"8AM to 9AM"
"ACAD3002","Acadia National Park",2022,"08:32:00",3,"Sitta canadensis","Red-breasted Nuthatch",1,0,"8AM to 9AM"
"ACAD3002","Acadia National Park",2022,"08:32:00",3,"Troglodytes hiemalis","Winter Wren",1,13,"8AM to 9AM"
"ACAD3002","Acadia National Park",2022,"08:37:00",4,"Catharus guttatus","Hermit Thrush",2,0,"8AM to 9AM"
"ACAD3002","Acadia National Park",2022,"08:37:00",4,"Regulus satrapa","Golden-crowned Kinglet",1,0,"8AM to 9AM"
"ACAD3002","Acadia National Park",2022,"08:37:00",4,"Sitta canadensis","Red-breasted Nuthatch",1,0,"8AM to 9AM"
"ACAD3002","Acadia National Park",2022,"08:37:00",4,"Vireo solitarius","Blue-headed Vireo",1,12,"8AM to 9AM"
"ACAD3005","Acadia National Park",2022,"05:06:00",2,"Catharus guttatus","Hermit Thrush",2,35,"5AM to 6AM"
"ACAD3005","Acadia National Park",2022,"05:06:00",2,"Corvus brachyrhynchos","American Crow",1,0,"5AM to 6AM"
"ACAD3005","Acadia National Park",2022,"05:06:00",2,"Regulus satrapa","Golden-crowned Kinglet",2,5,"5AM to 6AM"
"ACAD3005","Acadia National Park",2022,"05:06:00",2,"Setophaga coronata","Yellow-rumped Warbler",3,16,"5AM to 6AM"
"ACAD3005","Acadia National Park",2022,"05:06:00",2,"Setophaga virens","Black-throated Green Warbler",1,1,"5AM to 6AM"
"ACAD3005","Acadia National Park",2022,"05:06:00",2,"Troglodytes hiemalis","Winter Wren",1,0,"5AM to 6AM"
"ACAD3005","Acadia National Park",2022,"07:15:00",1,"Catharus guttatus","Hermit Thrush",1,0,"7AM to 8AM"
"ACAD3005","Acadia National Park",2022,"07:15:00",1,"Corvus brachyrhynchos","American Crow",1,0,"7AM to 8AM"
"ACAD3005","Acadia National Park",2022,"07:15:00",1,"Poecile atricapillus","Black-capped Chickadee",1,0,"7AM to 8AM"
"ACAD3005","Acadia National Park",2022,"07:15:00",1,"Regulus satrapa","Golden-crowned Kinglet",1,0,"7AM to 8AM"
"ACAD3005","Acadia National Park",2022,"07:15:00",1,"Setophaga coronata","Yellow-rumped Warbler",1,1,"7AM to 8AM"
"ACAD3005","Acadia National Park",2022,"07:15:00",1,"Setophaga virens","Black-throated Green Warbler",1,0,"7AM to 8AM"
"ACAD3005","Acadia National Park",2022,"07:15:00",1,"Troglodytes hiemalis","Winter Wren",2,0,"7AM to 8AM"
"ACAD3005","Acadia National Park",2022,"07:15:00",1,"Vireo solitarius","Blue-headed Vireo",1,0,"7AM to 8AM"
"ACAD3005","Acadia National Park",2022,"08:12:00",3,"Catharus guttatus","Hermit Thrush",1,31,"8AM to 9AM"
"ACAD3101","Acadia National Park",2022,"05:39:00",1,"Catharus guttatus","Hermit Thrush",2,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:39:00",1,"Mniotilta varia","Black-and-white Warbler",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:39:00",1,"Poecile atricapillus","Black-capped Chickadee",3,1,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:39:00",1,"Seiurus aurocapilla","Ovenbird",1,23,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:39:00",1,"Setophaga americana","Northern Parula",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:39:00",1,"Setophaga fusca","Blackburnian Warbler",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:39:00",1,"Setophaga virens","Black-throated Green Warbler",2,1,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:39:00",1,"Vireo olivaceus","Red-eyed Vireo",2,2,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:39:00",1,"Vireo solitarius","Blue-headed Vireo",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:40:00",2,"Catharus guttatus","Hermit Thrush",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:40:00",2,"Corvus brachyrhynchos","American Crow",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:40:00",2,"Seiurus aurocapilla","Ovenbird",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:40:00",2,"Setophaga americana","Northern Parula",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:40:00",2,"Setophaga caerulescens","Black-throated Blue Warbler",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:40:00",2,"Setophaga fusca","Blackburnian Warbler",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:40:00",2,"Setophaga virens","Black-throated Green Warbler",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:40:00",2,"Sitta canadensis","Red-breasted Nuthatch",1,36,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"05:40:00",2,"Vireo olivaceus","Red-eyed Vireo",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2022,"09:09:00",3,"Catharus guttatus","Hermit Thrush",1,9,"9AM to 10AM"
"ACAD3101","Acadia National Park",2022,"09:09:00",3,"Certhia americana","Brown Creeper",1,43,"9AM to 10AM"
"ACAD3101","Acadia National Park",2022,"09:09:00",3,"Regulus satrapa","Golden-crowned Kinglet",2,2,"9AM to 10AM"
"ACAD3101","Acadia National Park",2022,"09:09:00",3,"Sitta canadensis","Red-breasted Nuthatch",1,0,"9AM to 10AM"
"ACAD3101","Acadia National Park",2023,"05:28:00",5,"Catharus guttatus","Hermit Thrush",1,91,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:28:00",5,"Certhia americana","Brown Creeper",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:28:00",5,"Seiurus aurocapilla","Ovenbird",2,45,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:55:00",4,"Catharus guttatus","Hermit Thrush",1,82,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:55:00",4,"Poecile atricapillus","Black-capped Chickadee",4,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:55:00",4,"Regulus satrapa","Golden-crowned Kinglet",1,2,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:55:00",4,"Seiurus aurocapilla","Ovenbird",2,46,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:55:00",4,"Setophaga americana","Northern Parula",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:55:00",4,"Setophaga caerulescens","Black-throated Blue Warbler",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:55:00",4,"Setophaga fusca","Blackburnian Warbler",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:55:00",4,"Setophaga virens","Black-throated Green Warbler",1,0,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"05:55:00",4,"Sitta canadensis","Red-breasted Nuthatch",1,1,"5AM to 6AM"
"ACAD3101","Acadia National Park",2023,"08:45:00",6,"Cyanocitta cristata","Blue Jay",1,3,"8AM to 9AM"
"ACAD3101","Acadia National Park",2023,"08:45:00",6,"Regulus satrapa","Golden-crowned Kinglet",3,1,"8AM to 9AM"
"ACAD3101","Acadia National Park",2023,"08:45:00",6,"Seiurus aurocapilla","Ovenbird",1,6,"8AM to 9AM"
"ACAD3101","Acadia National Park",2023,"08:45:00",6,"Setophaga caerulescens","Black-throated Blue Warbler",1,14,"8AM to 9AM"
"ACAD3101","Acadia National Park",2023,"08:45:00",6,"Setophaga fusca","Blackburnian Warbler",1,0,"8AM to 9AM"
"ACAD3101","Acadia National Park",2023,"08:45:00",6,"Setophaga virens","Black-throated Green Warbler",1,0,"8AM to 9AM"
"ACAD3101","Acadia National Park",2023,"09:19:00",7,"Regulus satrapa","Golden-crowned Kinglet",1,62,"9AM to 10AM"
"ACAD3101","Acadia National Park",2023,"09:19:00",7,"Seiurus aurocapilla","Ovenbird",3,14,"9AM to 10AM"
"ACAD3101","Acadia National Park",2023,"09:19:00",7,"Setophaga coronata","Yellow-rumped Warbler",1,0,"9AM to 10AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Catharus guttatus","Hermit Thrush",1,0,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Certhia americana","Brown Creeper",1,12,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Mniotilta varia","Black-and-white Warbler",2,14,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Poecile atricapillus","Black-capped Chickadee",2,11,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Regulus satrapa","Golden-crowned Kinglet",2,3,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Seiurus aurocapilla","Ovenbird",2,52,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Setophaga caerulescens","Black-throated Blue Warbler",2,6,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Setophaga coronata","Yellow-rumped Warbler",1,0,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Setophaga fusca","Blackburnian Warbler",1,0,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Sitta canadensis","Red-breasted Nuthatch",2,0,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"05:24:00",1,"Troglodytes hiemalis","Winter Wren",2,29,"5AM to 6AM"
"ACAD3102","Acadia National Park",2023,"08:51:00",2,"Catharus guttatus","Hermit Thrush",1,38,"8AM to 9AM"
"ACAD3102","Acadia National Park",2023,"08:51:00",2,"Certhia americana","Brown Creeper",1,12,"8AM to 9AM"
"ACAD3102","Acadia National Park",2023,"08:51:00",2,"Poecile atricapillus","Black-capped Chickadee",2,64,"8AM to 9AM"
"ACAD3102","Acadia National Park",2023,"08:51:00",2,"Regulus satrapa","Golden-crowned Kinglet",1,3,"8AM to 9AM"
"ACAD3102","Acadia National Park",2023,"08:51:00",2,"Seiurus aurocapilla","Ovenbird",2,29,"8AM to 9AM"
"ACAD3102","Acadia National Park",2023,"08:51:00",2,"Setophaga fusca","Blackburnian Warbler",1,0,"8AM to 9AM"
"ACAD3102","Acadia National Park",2023,"08:51:00",2,"Setophaga virens","Black-throated Green Warbler",1,41,"8AM to 9AM"
"ACAD3102","Acadia National Park",2023,"08:51:00",2,"Sitta canadensis","Red-breasted Nuthatch",1,5,"8AM to 9AM"
"ACAD3102","Acadia National Park",2023,"09:07:00",3,"Catharus guttatus","Hermit Thrush",1,0,"9AM to 10AM"
"ACAD3102","Acadia National Park",2023,"09:07:00",3,"Certhia americana","Brown Creeper",1,0,"9AM to 10AM"
"ACAD3102","Acadia National Park",2023,"09:07:00",3,"Poecile atricapillus","Black-capped Chickadee",2,0,"9AM to 10AM"
"ACAD3102","Acadia National Park",2023,"09:07:00",3,"Regulus satrapa","Golden-crowned Kinglet",1,1,"9AM to 10AM"
"ACAD3102","Acadia National Park",2023,"09:07:00",3,"Seiurus aurocapilla","Ovenbird",2,6,"9AM to 10AM"
"ACAD3102","Acadia National Park",2023,"09:07:00",3,"Setophaga virens","Black-throated Green Warbler",3,17,"9AM to 10AM"
"ACAD3102","Acadia National Park",2023,"09:07:00",3,"Sitta canadensis","Red-breasted Nuthatch",1,0,"9AM to 10AM"
"ACAD3106","Acadia National Park",2022,"05:09:00",1,"Mniotilta varia","Black-and-white Warbler",1,3,"5AM to 6AM"
"ACAD3106","Acadia National Park",2022,"05:09:00",1,"Poecile atricapillus","Black-capped Chickadee",2,4,"5AM to 6AM"
"ACAD3106","Acadia National Park",2022,"05:09:00",1,"Regulus satrapa","Golden-crowned Kinglet",1,26,"5AM to 6AM"
"ACAD3106","Acadia National Park",2022,"05:09:00",1,"Seiurus aurocapilla","Ovenbird",2,17,"5AM to 6AM"
"ACAD3106","Acadia National Park",2022,"05:09:00",1,"Setophaga caerulescens","Black-throated Blue Warbler",1,0,"5AM to 6AM"
"ACAD3106","Acadia National Park",2022,"05:09:00",1,"Setophaga virens","Black-throated Green Warbler",2,70,"5AM to 6AM"
"ACAD3106","Acadia National Park",2022,"05:09:00",1,"Sitta canadensis","Red-breasted Nuthatch",1,2,"5AM to 6AM"
"ACAD3106","Acadia National Park",2022,"05:09:00",1,"Troglodytes hiemalis","Winter Wren",2,68,"5AM to 6AM"
"ACAD3106","Acadia National Park",2022,"05:09:00",1,"Vireo olivaceus","Red-eyed Vireo",1,0,"5AM to 6AM"
"ACAD3106","Acadia National Park",2022,"07:30:00",2,"Cyanocitta cristata","Blue Jay",1,2,"7AM to 8AM"
"ACAD3106","Acadia National Park",2022,"07:30:00",2,"Poecile atricapillus","Black-capped Chickadee",2,0,"7AM to 8AM"
"ACAD3106","Acadia National Park",2022,"07:30:00",2,"Regulus satrapa","Golden-crowned Kinglet",1,7,"7AM to 8AM"
"ACAD3106","Acadia National Park",2022,"07:30:00",2,"Setophaga virens","Black-throated Green Warbler",2,18,"7AM to 8AM"
"ACAD3106","Acadia National Park",2022,"07:30:00",2,"Vireo olivaceus","Red-eyed Vireo",1,0,"7AM to 8AM"
"ACAD3106","Acadia National Park",2022,"07:30:00",2,"Vireo solitarius","Blue-headed Vireo",1,0,"7AM to 8AM"
"ACAD3201","Acadia National Park",2022,"05:41:00",2,"Certhia americana","Brown Creeper",1,0,"5AM to 6AM"
"ACAD3201","Acadia National Park",2022,"05:41:00",2,"Poecile atricapillus","Black-capped Chickadee",2,0,"5AM to 6AM"
"ACAD3201","Acadia National Park",2022,"05:41:00",2,"Seiurus aurocapilla","Ovenbird",2,19,"5AM to 6AM"
"ACAD3201","Acadia National Park",2022,"05:41:00",2,"Setophaga coronata","Yellow-rumped Warbler",1,0,"5AM to 6AM"
"ACAD3201","Acadia National Park",2022,"05:41:00",2,"Setophaga virens","Black-throated Green Warbler",2,0,"5AM to 6AM"
"ACAD3201","Acadia National Park",2022,"06:47:00",1,"Catharus guttatus","Hermit Thrush",1,0,"6AM to 7AM"
"ACAD3201","Acadia National Park",2022,"06:47:00",1,"Poecile atricapillus","Black-capped Chickadee",3,3,"6AM to 7AM"
"ACAD3201","Acadia National Park",2022,"06:47:00",1,"Seiurus aurocapilla","Ovenbird",4,4,"6AM to 7AM"
"ACAD3201","Acadia National Park",2022,"06:47:00",1,"Setophaga coronata","Yellow-rumped Warbler",4,25,"6AM to 7AM"
"ACAD3201","Acadia National Park",2022,"06:47:00",1,"Sitta canadensis","Red-breasted Nuthatch",2,9,"6AM to 7AM"
"ACAD3201","Acadia National Park",2022,"06:47:00",1,"Vireo olivaceus","Red-eyed Vireo",1,0,"6AM to 7AM"
"ACAD3201","Acadia National Park",2022,"06:55:00",4,"Catharus guttatus","Hermit Thrush",1,41,"6AM to 7AM"
"ACAD3201","Acadia National Park",2022,"06:55:00",4,"Poecile atricapillus","Black-capped Chickadee",2,0,"6AM to 7AM"
"ACAD3201","Acadia National Park",2022,"06:55:00",4,"Setophaga coronata","Yellow-rumped Warbler",2,5,"6AM to 7AM"
"ACAD3201","Acadia National Park",2022,"06:55:00",4,"Sitta canadensis","Red-breasted Nuthatch",1,0,"6AM to 7AM"
"ACAD3201","Acadia National Park",2022,"08:03:00",3,"Catharus guttatus","Hermit Thrush",1,0,"8AM to 9AM"
"ACAD3201","Acadia National Park",2022,"08:03:00",3,"Cyanocitta cristata","Blue Jay",2,22,"8AM to 9AM"
"ACAD3201","Acadia National Park",2022,"08:03:00",3,"Regulus satrapa","Golden-crowned Kinglet",2,0,"8AM to 9AM"
"ACAD3201","Acadia National Park",2022,"08:03:00",3,"Setophaga virens","Black-throated Green Warbler",4,5,"8AM to 9AM"
"ACAD3201","Acadia National Park",2022,"08:03:00",3,"Sitta canadensis","Red-breasted Nuthatch",2,0,"8AM to 9AM"
"ACAD3201","Acadia National Park",2022,"08:03:00",3,"Troglodytes hiemalis","Winter Wren",1,0,"8AM to 9AM"
"ACAD3201","Acadia National Park",2023,"07:42:00",6,"Catharus guttatus","Hermit Thrush",1,0,"7AM to 8AM"
"ACAD3201","Acadia National Park",2023,"07:42:00",6,"Cyanocitta cristata","Blue Jay",1,2,"7AM to 8AM"
"ACAD3201","Acadia National Park",2023,"07:42:00",6,"Poecile atricapillus","Black-capped Chickadee",1,0,"7AM to 8AM"
"ACAD3201","Acadia National Park",2023,"07:42:00",6,"Regulus satrapa","Golden-crowned Kinglet",1,70,"7AM to 8AM"
"ACAD3201","Acadia National Park",2023,"07:42:00",6,"Setophaga coronata","Yellow-rumped Warbler",2,12,"7AM to 8AM"
"ACAD3201","Acadia National Park",2023,"07:42:00",6,"Vireo olivaceus","Red-eyed Vireo",1,0,"7AM to 8AM"
"ACAD3201","Acadia National Park",2023,"08:32:00",5,"Cyanocitta cristata","Blue Jay",1,12,"8AM to 9AM"
"ACAD3201","Acadia National Park",2023,"08:32:00",5,"Poecile atricapillus","Black-capped Chickadee",3,1,"8AM to 9AM"
"ACAD3201","Acadia National Park",2023,"08:32:00",5,"Setophaga coronata","Yellow-rumped Warbler",4,38,"8AM to 9AM"
"ACAD3201","Acadia National Park",2023,"08:32:00",5,"Setophaga virens","Black-throated Green Warbler",1,0,"8AM to 9AM"
"ACAD3201","Acadia National Park",2023,"08:32:00",5,"Sitta canadensis","Red-breasted Nuthatch",1,0,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:21:00",2,"Catharus guttatus","Hermit Thrush",1,0,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:21:00",2,"Poecile atricapillus","Black-capped Chickadee",1,0,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:21:00",2,"Seiurus aurocapilla","Ovenbird",1,25,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:21:00",2,"Setophaga virens","Black-throated Green Warbler",2,23,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:21:00",2,"Vireo olivaceus","Red-eyed Vireo",1,29,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:56:00",1,"Catharus guttatus","Hermit Thrush",1,43,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:56:00",1,"Poecile atricapillus","Black-capped Chickadee",2,0,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:56:00",1,"Seiurus aurocapilla","Ovenbird",1,0,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:56:00",1,"Setophaga coronata","Yellow-rumped Warbler",1,0,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:56:00",1,"Setophaga virens","Black-throated Green Warbler",4,80,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:56:00",1,"Vireo olivaceus","Red-eyed Vireo",1,0,"8AM to 9AM"
"ACAD3204","Acadia National Park",2023,"08:56:00",1,"Vireo solitarius","Blue-headed Vireo",1,9,"8AM to 9AM"
"ACAD3205","Acadia National Park",2022,"07:04:00",2,"Catharus guttatus","Hermit Thrush",1,0,"7AM to 8AM"
"ACAD3205","Acadia National Park",2022,"07:04:00",2,"Corvus brachyrhynchos","American Crow",1,1,"7AM to 8AM"
